corpus	fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	comments	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	composed_source	subtitle_text	imslp	musicbrainz	viaf	wikidata	score_integrity	imslp.1	key	mode	typesetter	electronic editor	electronic encoder	text	pdf	score integrity	PDF
ABC	n01op18-1_01	1: 3/4	1: -1	313	313	939.0	427.0	427.0	1281.0		3132.75	4589	1950	0	0	405	F	1.0.0	Markus Neuwirth		1799	1799	Beethoven			Op. 18 no. 1 mvmnt 1						2016-01-30	3.02	Apple Macintosh			Op. 18 no. 1 mvmnt 1		Beethoven	3.6.2	1.0.2	MS3	MS3/n01op18-1_01.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n01op18-1_02	1: 9/8	1: -1	110	110	495.0	110.0	110.0	495.0		1647.75	2939	1412	0	0	263	d	1.0.0	Markus Neuwirth		1799	1799				op18_no1_mvmnt2_all						2016-01-31	3.02	Apple Macintosh			op18_no1_mvmnt2_all			3.6.2	1.0.2	MS3	MS3/n01op18-1_02.mscx	0	36-57 (C2-A3)		xml	57-57 (A3-A3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n01op18-1_03	1: 3/4	1: -1	145	145	435.0	246.0	246.0	738.0		1536.0	1176	506	0	0	203	F	1.0.0	Markus Neuwirth		1799	1799	Beethoven			op.18 no.1 mvmnt.3						2016-01-31	3.02	Apple Macintosh			op.18 no.1 mvmnt.3		Beethoven	3.6.2	1.0.2	MS3	MS3/n01op18-1_03.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n01op18-1_04	1: 2/4	1: -1	381	381	762.0	381.0	381.0	762.0		2424.5	5451	2622	0	0	598	F	1.0.0	Markus Neuwirth		1799	1799	Beethoven			Op.18 no1:4						2016-01-31	3.02	Apple Macintosh			Op.18 no1:4		Beethoven	3.6.2	1.0.2	MS3	MS3/n01op18-1_04.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n02op18-2_01	1: 2/4	1: 1	249	249	498.0	330.0	330.0	660.0		1504.38	3227	1549	0	0	486	G	1.0.0	Markus Neuwirth		1799	1800										2016-01-31	3.02	Apple Macintosh			"Quartet No.2 in G Major 
Op. 18 no. 2, 1st Movement "		Ludwig van Beethoven	3.6.2	1.0.2	MS3	MS3/n02op18-2_01.mscx	0	37-55 (C#2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	49-49 (C#3-C#3)	Viola	37-37 (C#2-C#2)	Cello																	
ABC	n02op18-2_02	1: 3/4, 28: 2/4, 64: 3/4	1: 0, 28: -1, 64: 0	92	86	226.0	118.0	110.0	274.0		742.12	1788	818	0	0	177	C	1.0.0	Markus Neuwirth		1799	1800										2016-01-31	3.02	Apple Macintosh			"Quartet No.2 in G Major
Op. 18, no.2, 2nd Movement"	Adagio Cantabile	Ludwig van Beethoven	3.6.2	1.0.2	MS3	MS3/n02op18-2_02.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n02op18-2_03	1: 3/4	1: 1, 46: 0	92	87	263.0	174.0	166.0	498.0	(, (, (, 8, 3, ,, ), ,,  , (, 8, 4, ,, ), ), ,, )	797.0	1252	627	0	0	138	G	1.0.0	Markus Neuwirth		1799	1800										2016-01-31	3.02	Apple Macintosh			"Quartet No.2 in G Major
"	Scherzo Allegro.	Ludwig van Beethoven	3.6.2	1.0.2	MS3	MS3/n02op18-2_03.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n02op18-2_04	1: 2/4	1: 1	412	412	824.0	412.0	412.0	824.0		2780.5	4113	1700	0	0	468	G	1.0.0	Markus Neuwirth		1799	1800										2016-01-31	3.02	Apple Macintosh			"Quartet No.2 in G Major
Op.18 No. 2, 4th Movement"		Ludwig van Beethoven	3.6.2	1.0.2	MS3	MS3/n02op18-2_04.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	Violin	55-55 (G3-G3)	Violin	48-48 (C3-C3)	Viola	36-36 (C2-C2)	Cello																	
ABC	n03op18-3_01	1: 2/2	1: 2	271	269	1084.0	376.0	376.0	1504.0	(, (, (, 1, 0, 8, ,,  , 1, 0, 9, ), ,,  , (, 1, 1, 0, ,,  , 1, 1, 1, ), ), ,, )	3573.17	3124	1591	0	0	383	D	1.0.0	Markus Neuwirth		1798	1799	L van Beethoven			String Quartet Op18 No3					©	2015-08-12	3.02	Microsoft Windows			String Quartet Op18 No3		L van Beethoven	3.6.2	1.0.2	MS3	MS3/n03op18-3_01.mscx	0	37-55 (C#2-G3)		xml	55-55 (G3-G3)	MusicXML Default 1	55-55 (G3-G3)	MusicXML Default 2	48-48 (C3-C3)	MusicXML Default 3	37-37 (C#2-C#2)	MusicXML Default 4																	
ABC	n03op18-3_02	1: 2/4	1: -2	151	151	302.0	151.0	151.0	302.0		982.21	2847	1250	0	0	394	Bb	1.0.0	Markus Neuwirth		1798	1799	L van Beethoven			String Quartet Op18 No3					©	2015-08-12	3.02	Microsoft Windows			String Quartet Op18 No3		L van Beethoven	3.6.2	1.0.2	MS3	MS3/n03op18-3_02.mscx	0	36-55 (C2-G3)		xml	55-55 (G3-G3)	MusicXML Default 1	55-55 (G3-G3)	MusicXML Default 2	48-48 (C3-C3)	MusicXML Default 3	36-36 (C2-C2)	MusicXML Default 4																	
